"description","tags","contributors","result","ref_original","ref_replication"
"The frequency estimate for the “and” conjunction phrase will be higher than the phrase describing unlikely target alone.","CORE, Judgment, Decision Making, JDM, Heuristics, Biases","Yikang","Success","Mellers, B., Hertwig, R., & Kahneman, D. (2001). Do frequency representations eliminate conjunction effects? An exercise in adversarial collaboration. Psychological Science, 12(4), 269-275.","Chandrashekar, S., Cheng‎, Y. H., Fong‎, C. L., Leung‎, Y. C., Wong, Y. T., Cheng, B. L., & Feldman, G. (2021). Frequency estimation and semantic ambiguity do not eliminate ‎conjunction bias, when it ‎occurs: Replication and extension of ‎Mellers, Hertwig, and Kahneman (2001)‎. In Meta-Psychology (Vol. 5). Linnaeus University."
"Participants overestimate the impact of smoking status on others' attitudes towards these policies.","CORE, Judgment, Decision Making, JDM, Heuristics, Biases","Adrien","Success","Miller, D. T., & Ratner, R. K. (1998). The disparity between the actual and assumed power of self-interest. Journal of personality and social psychology, 74(1), 53.","Cameron Brick, Adrien Fillon, Siu Kit Yeung, Meiying Wang‎, Hongye Lyu‎, Jing Yee Jane Ho‎, Sze Chai Wong, Gilad Feldman; Self-interest Is Overestimated: Two Successful Pre-registered Replications and Extensions of Miller and Ratner (1998). Collabra: Psychology 4 January 2021; 7 (1): 23443. doi:"
"Participants overestimate how much payment changes others' willingness to donate blood.","CORE, Judgment, Decision Making, JDM, Heuristics, Biases","Adrien","Success","Miller, D. T., & Ratner, R. K. (1998). The disparity between the actual and assumed power of self-interest. Journal of personality and social psychology, 74(1), 53.","Cameron Brick, Adrien Fillon, Siu Kit Yeung, Meiying Wang‎, Hongye Lyu‎, Jing Yee Jane Ho‎, Sze Chai Wong, Gilad Feldman; Self-interest Is Overestimated: Two Successful Pre-registered Replications and Extensions of Miller and Ratner (1998). Collabra: Psychology 4 January 2021; 7 (1): 23443. doi:"
"Measuring receptiveness to opposing views","","LR","Success","Minson, J. A., Chen, F. S., & Tinsley, C. H. (2020). Why won’t you listen to me? Measuring receptiveness to opposing views. Management Science, 66(7), 3069-3094.","Boyce, V., Mathur, M., & Frank, M. C. (2023). Eleven years of student replication projects provide evidence on the correlates of replicability in psychology. Royal Society Open Science, 10(11), 231240."
"transposed-word effect in grammaticality judgments","morality, rebel","LR","Failure","Mirault, J., Snell, J., & Grainger, J. (2018). You that read wrong again! A transposed-word effect in grammaticality judgments. Psychological Science, 29(12), 1922-1929.","Boyce, V., Mathur, M., & Frank, M. C. (2023). Eleven years of student replication projects provide evidence on the correlates of replicability in psychology. Royal Society Open Science, 10(11), 231240."
"Attractor dynamics and semantic neighborhood density: Processing is slowed by near neighbors and speeded by distant neighbors.","Association Learning, Attention, Humans, Inhibition (Psychology), Orientation, Reaction Time, Reading, Semantics","Bosco","Success","Mirman, D., & Magnuson, J. S. (2008). Attractor dynamics and semantic neighborhood density: Processing is slowed by near neighbors and speeded by distant neighbors. Journal of Experimental Psychology: Learning, Memory, and Cognition, 34, 65-79.","Bosco, F., & Field, J. G. (2016, August 19). Replication of Mirman & Magnuson (2008, JEP:LMC, Study 2). Retrieved from osf.io/rvkc5"
"Correspondence bias (WEIRD samples)","Many Labs 2","Lukas Röseler","Success","Miyamoto, Y., & Kitayama, S. (2002). Cultural variation in correspondence bias: The critical role of attitude diagnosticity of socially constrained behavior. Journal of Personality and Social Psychology, 83, 1239–1248.  Study 1","Klein, R. A., Vianello, M., Hasselman, F., Adams, B. G., Adams Jr, R. B., Alper, S., ... & Sowden, W. (2018). Many Labs 2: Investigating variation in replicability across samples and settings. Advances in Methods and Practices in Psychological Science, 1(4), 443-490."
"Personality dominance and preferential use of the vertical dimension of space","Adult, Attention, Choice Behavior, Female, Humans, Male, Metaphor, Personality, Social Dominance, Space Perception, Spatial Behavior","Levitan","Failure","Moeller, S.K., Robinson, M.D., Zabelina, D.L. (2008). Personality dominance and preferential use of the vertical dimension of space. Psychological Science, 19, 355-361.","Levitan, C., & Fernández, B. (2023, September 28). Replication of SK Moeller, MD Robinson, DL Zabelina (2008, Psychological Science, Experiment 2). Retrieved from osf.io/tg2wd"
"By manipulating the timing of an activity, the Time-Elicit (TEL) procedure of stating the maximum amount of hours required for a task should be more sensitive to a change in time scarcity, because time of money required for a task). Analogously, the TEL procedure should be more sensitive to a change in the timing of the activity. That is, distant activitiesscarcity receives a higher weight in TEL vs. Money-Elicit (MEL) procedure - stating the minimum amount should yield lower wage rates, particularly in the TEL (vs. MEL) procedure, which should diminish the wage rate asymmetry","time, money, scarcity, time-money tradeoffs, wage rates, procedural invariance","Kaiser, Leonard","Failure","Monga, A., May, F., & Bagchi, R. (2017). Eliciting time versus money: time scarcity underlies asymmetric wage rates. Journal of consumer research, 44(4), 833-852. Study 4","O’Donnell, M., Dev, A. S., Antonoplis, S., Baum, S. M., Benedetti, A. H., Brown, N. D., Carrillo, B., Choi, A. L., Connor, P., Donnelly, K., Ellwood-Lowe, M. E., Foushee, R., Jansen, R., Jarvis, S. N., Lundell-Creagh, R., Ocampo, J. M., Okafor, G. N., Azad, Z. R., Rosenblum, M., … Nelson, L. D. (2021). Empirical audit and review and an assessment of evidentiary value in research on the psychological consequences of scarcity. Proceedings of the National Academy of Sciences, 118(44), e2103313118."
"resenting those who do the right thing","","LR","OS not significant","Monin, B., Sawyer, P. J., & Marquez, M. J. (2008). The rejection of moral rebels: resenting those who do the right thing. Journal of personality and social psychology, 95(1), 76.","Boyce, V., Mathur, M., & Frank, M. C. (2023). Eleven years of student replication projects provide evidence on the correlates of replicability in psychology. Royal Society Open Science, 10(11), 231240."
"imagined consumption reduces actual consumption","Social Science Replication Project, Science, Nature, Human Behavior","Lukas Röseler","Success","Morewedge, C. K., Huh, Y. E., & Vosgerau, J. (2010). Thought for food: Imagined consumption reduces actual consumption. Science, 330(6010), 1530-1533.","Camerer, C. F., Dreber, A., Holzmeister, F., Ho, T. H., Huber, J., Johannesson, M., ... & Wu, H. (2018). Evaluating the replicability of social science experiments in Nature and Science between 2010 and 2015. Nature human behaviour, 2(9), 637-644."
"Now you see it, now you don't: repetition blindness for nonwords","Attentional Blink, Humans, Judgment, Memory, Short-Term, Pattern Recognition, Visual, Reading, Semantics, Serial Learning, Verbal Learning","Goodbourn","Failure","Morris, A.L., Still, M.L. (2008). Now you see it, now you don't: Repetition blindness for nonwords. Journal of Experimental Psychology: Learning Memory and Cognition, 34(1), 146–166.","Goodbourn, P. T. (2023, September 28). Replication of Morris and Still (2008). Retrieved from osf.io/rmvk5"
"Distinguishing between silent and vocal minorities: Not all deviants feel marginal.","Conflict (Psychology), Culture, Female, Group Processes, Humans, Individuality, Male, Motivation, Personal Satisfaction, Social Conformity, Social Dominance, Social Identification","Motyl","OS not significant","Morrison, Kimberly Rios, and Dale T. Miller. ""Distinguishing between silent and vocal minorities: Not all deviants feel marginal."" Journal of Personality and Social Psychology 94.5 (2008): 871","Motyl, M., & Nosek, B. A. (2023, September 28). Replication of Morrison & Miller (2008, JPSP, Study 3). Retrieved from osf.io/nhwv5"
"ego depletion effect","","","Failure","Muraven, M., Tice, D. M., & Baumeister, R. F. (1998). Self-control as a limited resource: Regulatory depletion patterns. Journal of personality and social psychology, 74(3), 774. Study 2","Murtagh, A. M., & Todd, S. A. (2004). Self-regulation: A challenge to the strength model. Journal of Articles in Support of the Null Hypothesis, 3(1), 19-51. (Study 2)"
"Balancing connectedness and self-protection goals in close relationships: A levels-of-processing perspective on risk regulation.","Adolescent, Adult, Conflict (Psychology), Courtship [psychology], Female, Goals, Humans, Intention, Interpersonal Relations, Male, Models, Psychological, Questionnaires, Rejection (Psychology), Risk Reduction Behavior, Self Concept, Students [psychology], Trust [psychology]","Sinclair","Failure","Murray, S.L., Derrick, J.L., Leder, S., & Holmes, J.G. (2008). Balancing connectedness and self-protection goals in close relationships: A levels-of-processing perspective on risk regulation. Journal of Personality and Social Psychology, 94(3), 429-459.","Sinclair, H. C., Goldberg, R. M., Wu, S., & Smith, M. M. (2016, August 19). Replication of SL Murray, JL Derrick, S Leder, JG Holmes (2008, JPSP 94(3), Exp. 8). Retrieved from osf.io/cxmf6"
"Subliminal anchoring effect","","Oliver Deane","Success","Mussweiler, T., & Englich, B. (2005). Subliminal anchoring: Judgmental consequences and underlying mechanisms. Organizational Behavior and Human Decision Processes, 98(2), 133-143.","Röseler, L., Schütz, A., Blank, P. A., Dück, M., Fels, S., Kupfer, J., Scheelje, L., & Seida, C. (2021). Evidence against subliminal anchoring: Two close, highly powered, preregistered, and failed replication attempts. Journal of Experimental Social Psychology, 92, 104066."
"The effect of subiminal anchoring on the estimation of the costs of a middle class car","subliminal anchoring, anchoring effect, anchor, subliminal, threshold","Lukas Röseler, Sophie Janiczek , Evgenia Burlakovas","Failure","Mussweiler, T., & Englich, B. (2005). Subliminal anchoring: Judgmental consequences and underlying mechanisms. Organizational Behavior and Human Decision Processes, 98(2), 133-143. Study 2","Röseler, L., Schütz, A., Burlakovas, E., Dück, M., Fels, S., Janiczek, S., … Seida, C. (2022, September 15). Replication Mussweiler & Englich, 2005, Study 2."
"When giving numerical estimates, people are biased towards a previously subliminally presented value","anchoring, anchor, numerical estimates, anchoring and adjustment, heuristics and biases, subliminal anchoring","LR","Failure","Mussweiler, T., & Englich, B. (2005). Subliminal anchoring: Judgmental consequences and underlying mechanisms. Organizational Behavior and Human Decision Processes, 98(2), 133–143.","Röseler, L., Schütz, A., Blank, P. A., Dück, M., Fels, S., Kupfer, J., Scheelje, L., & Seida, C. (2021). Evidence against subliminal anchoring: Two close, highly powered, preregistered, and failed replication attempts. Journal of Experimental Social Psychology, 92, 104066."
"Semantic interference in a delayed naming task: Evidence for the response exclusion hypothesis.","Attention, Conflict (Psychology), Field Dependence-Independence, Humans, Inhibition (Psychology), Pattern Recognition, Visual, Reaction Time, Reading, Semantics","Galak","OS not significant","N Janssen, W Schirm, BZ Mahon, A Caramazza (2008).“Semantic Interference in a Delayed Naming Task: Evidence for the Response Exclusion Hypothesis.” Journal of Experimental Psychology: Learning Memory and Cognition, 34(1), 249-256.","Galak, J. (2023, September 28). Replication of Janssen and colleagues (2008, JEP:LMC, Study 1). Retrieved from osf.io/uhpyr"
"","experimental philosophy","Sousa, Allard & Kurthy","Success","Nadelhoffer, T. (2004). Blame, badness, andintentional action: A reply to Knobe and Mendlow. Journal of Theoretical and Philosophical Psychology, 24, 259–269.","Cova, F., Strickland, B., Abatista, A., Allard, A., Andow, J., Attie, M., ... & Zhou, X. (2021). Estimating the reproducibility of experimental philosophy. Review of Philosophy and Psychology, 12, 9-44."
"","experimental philosophy","Dranseika & Berniunas","Success","Nadelhoffer, T. (2005). Skill, luck, control, and intentional action. Philosophical Psychology, 18(3), 341-352.","Cova, F., Strickland, B., Abatista, A., Allard, A., Andow, J., Attie, M., ... & Zhou, X. (2021). Estimating the reproducibility of experimental philosophy. Review of Philosophy and Psychology, 12, 9-44."
"","experimental philosophy","Mott","Success","Nadelhoffer, T. (2006). Bad acts, blameworthy agents, and intentional actions: Some problems for juror impartiality. Philosophical explorations, 9(2), 203-219.","Cova, F., Strickland, B., Abatista, A., Allard, A., Andow, J., Attie, M., ... & Zhou, X. (2021). Estimating the reproducibility of experimental philosophy. Review of Philosophy and Psychology, 12, 9-44."
"","experimental philosophy","Lantian & Boudesseul","Failure","Nadelhoffer, T., & Feltz, A. (2008). The actor–observer bias and moral intuitions: Adding fuel to Sinnott-Armstrong’s fire. Neuroethics, 1, 133-144.","Cova, F., Strickland, B., Abatista, A., Allard, A., Andow, J., Attie, M., ... & Zhou, X. (2021). Estimating the reproducibility of experimental philosophy. Review of Philosophy and Psychology, 12, 9-44."
